doc_id,lay_id,respondent,type,treatment,time,response,sd_response,mean_response_moderate,std_response,politics,age,female,education,white,density,metropolitan,republican_voteprop_pres_2016,fox,clinical_time,specialty,practice_setting,researchengagement_scale,evidenceskepticism_scale,exp_condition
1,NA,physician,choice,plaquenil,t1,-1,1.4177893216450512,-0.41758241758241754,-0.41079275568376217,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,plaquenil,t2,1,0.5855447662456258,-1.8253012048192772,4.825081475724629,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,plaquenil,t3,-2,0.4938209008277974,-1.911504424778761,-0.17920581140428235,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,effective,plaquenil,t3,-1,0.5764865834225402,-1.761061946902655,1.320172869218066,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,ivermectin,t3,-2,0.5837987185341512,-1.9026548672566372,-0.16674434124793003,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,effective,ivermectin,t3,-1,0.6413740703562988,-1.663716814159292,1.0348357453717785,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,angiotensin,t1,-1,0.7198756485503404,-1.521978021978022,0.725094706327631,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,antibiotic,t1,1,1.4587268119255967,-0.021978021978022056,0.7005958988502836,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,antiretroviral,t1,-1,1.2348454847834482,-0.956043956043956,-0.03559639201640882,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,steroid,t1,1,1.2536314835169837,-0.8076923076923076,1.4419646694106159,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,toci,t3,1,1.2104550653376047,0.7079646017699114,0.24126083370855061,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,choice,remdesivir,t2,1,0.9324818983397087,1.4397590361445782,-0.47160061436857126,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,effective,vaccine,t3,2,0.5320983330831,1.8761061946902655,0.2328400553180938,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,mandate,vaccine,t3,0,1.2708294698653018,1.0442477876106193,-0.821705675208572,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,evidence,ivermectin,t3,2,1.181607777697233,2.8053097345132745,-0.6815372661837891,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,evidence,plaquenil,t1,3,0.6683715395879565,1.7747252747252746,1.833223967061933,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,evidence,plaquenil,t2,3,1.177946921139967,2.6545454545454548,0.29326834618339936,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,evidence,plaquenil,t3,2,1.1615727437216814,2.9646017699115044,-0.8304273452740621,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
1,NA,physician,peerbeliefs,plaquenil,t2,24,23.79283483415372,26.4,-0.1008707040051776,1,39,0,NA,1,4000,1,0.5,0,All or almost all (95% or more),Emergency medicine,"Academic, university affiliated",1,3.5,ivermectin
